"Sign up & Get 10% off.","Sign up & Get 10% off."
"Register your email for news and special offers","Register your email for news and special offers"
"Subscribe","Submit"
"View Cart","View Cart"
"Home","Home"
"learn more","learn more"
"Compare Products","Compare"
"Regular Price:",""
"Special Price:",""
"Regular Price","'
"Special Price","'
"Starting at:", ""
"HOT","HOT"
"SALE","SALE"
"Sign In","Sign In"
"Register","Register"
"Back to Login","Back to Login"
"Navigation","Navigation"
"Availability:",""
"SKU:","SKU:"
"Qty:","Quantity"
"You may also be interested in the following product(s)","You might also like..."
"%s customer reviews","%s customer reviews"
"%s out of 5","%s out of 5"
"Review by %s","By %s"
"(Posted on %s)","%s"
"Average rating","Average rating"
"(based on %s reviews)","(based on %s reviews)"
"Based on your selection, you may be interested in the following items:","You might also like..."
"Twitter","Twitter"
"Facebook","Facebook"
