"The product %s has been added to comparison list.","The product %s has been added to comparison list."
"Cannot create wishlist.","Cannot create wishlist."
"Wishlist Has Been Disabled By Admin","Wishlist Has Been Disabled By Admin"
"Please Login First","Please Login First"
"Unable to Create Wishlist","Unable to Create Wishlist"
"Product Not Found","Product Not Found"
"Cannot specify product.","Cannot specify product."
"%1$s has been added to your wishlist.","%1$s has been added to your wishlist."
"An error occurred while adding item to wishlist: %s","An error occurred while adding item to wishlist: %s"
"An error occurred while adding item to wishlist.","An error occurred while adding item to wishlist."
"An error occurred while updating wishlist.","An error occurred while updating wishlist."
"%1$s has been updated in your wishlist.","%1$s has been updated in your wishlist."
"Unable to find Product ID","Unable to find Product ID"
"%s was added to your shopping cart.","%s was added to your shopping cart."
"Quick View","Quick View"
"View Cart","View Cart"
"Checkout","Checkout"
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Quote item is not found.","Quote item is not found."
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"Cannot update the item.","Cannot update the item."
